Store,Address,Phone,lat,lon,In District
718 Cyclery,"427 7th Ave, Brooklyn, NY",(347) 457-5760,40.6635902,-73.9841378,Yes
7th Avenue Discount Goods,"162 7th Ave, Brooklyn, NY",,40.6721161,-73.9774271,Yes
Animal Kind Veterinarian Hospital,"365 7th Ave, Brooklyn, NY",(718) 832-3899,40.6657667,-73.9823298,Yes
Brooks Appliance & Repair,"387 7th Ave, Brooklyn, NY",(718) 832-0055,40.6651658,-73.9828213,Yes
Chase,"129 7th Ave, Brooklyn, NY",(718) 783-1822,40.67300613333333,-73.97635533333334,Yes
Fferins Candy,"438 7th Ave, Brooklyn, NY",(718) 788-5788,40.6634948,-73.9846239,Yes
Leroy's Place,"353 7th Ave, Brooklyn, NY",(718) 369-4200,40.6660406,-73.9821022,Yes
Music Matters Records,"413 B 7th Ave, Brooklyn, NY",(718) 369-7087,40.664104,-73.9837794,Yes
Park Slope Copy Center,"123 7th Ave, Brooklyn, NY",(718) 783-0286,40.6733417,-73.9760481,Yes
Smart Phone Repair,"138 7th Ave, Brooklyn, NY",(917) 909-0901,40.6729136,-73.9767592,Yes
UPS,"320 7th Ave, Brooklyn, NY",(718) 499-0464,40.6673359,-73.9814206,Yes
US Post Office,"198 7th Ave, Brooklyn, NY",(888) 275-8777,40.6709892,-73.9783584,Yes
Toy Space,"426 7th Ave, Brooklyn, NY",(718) 369-9096,40.6638198,-73.9843521,Yes
Powerhouse Books,"1111 8th Ave, Brooklyn, NY",(718) 801-8375,40.664193,-73.9802996,Yes
Sterling Place,"352 7th Ave, Brooklyn, NY",(718) 499-4800,40.6662345,-73.9823465,Yes
Cohen Fashion Optical,"298 7th Avenue, Brooklyn, NY",(718) 768-3939,40.6679857,-73.9808705,Yes
Cohen Fashion Optical,"298 7th Avenue, Brooklyn, NY",(718) 768-3939,40.6679857,-73.9808705,Yes
The Bad Wife,"378 7th Ave, Brooklyn, NY",(718) 499-7513,40.6654869,-73.9829616,Yes
Cousin John's Bakery,"70 7th Avenue, Brooklyn, NY",718-622-7333,40.6753628,-73.9750232,Yes
BKLYN Cake Studio,"427 7th Ave, Brooklyn, NY",(718) 576-3986,40.6635902,-73.9841378,Yes
Food U Desire,"423 7th Ave, Brooklyn, NY",(718) 965-1249,40.6637229,-73.984028,Yes
Russos Italian Market,"363 7th Ave, Brooklyn, NY",(718) 369-2874,40.6658136,-73.9822909,Yes
Park Slope Sea Food,"217 7th Ave, Brooklyn, NY",(718) 832-7638,40.6701184,-73.978697,Yes
Un Posto Italiano Market & Café,"206 Garfield Pl, Brooklyn, NY",(718) 838-9500,40.6721139,-73.9769282,Yes
D'Vine Taste,"150 7th Ave, Brooklyn, NY",(718) 369-0548,40.6725955,-73.9770283,Yes
Hiller and Moon,"814 Union Street, Brooklyn, NY",(718) 230-5150,40.6742198,-73.9752649,Yes
Otto Woman's Boutique,"354 7th Ave, Brooklyn, NY",(718) 788-6627,40.6661881,-73.98238,Yes
fig.,"121 7th Ave, Brooklyn, NY",(718) 622 5550 ,40.6733857,-73.9760194,Yes
Kiwi,"119 7th Ave, Brooklyn, NY",(718) 622-5551,40.673433,-73.9759846,Yes
Blok Hill,"103 7th Ave, Brooklyn, NY",(718) 783-0789,40.6740201,-73.9755983,Yes
NYC Pet,"385 7th Ave, Brooklyn, NY",(718)768-3958,40.6652098,-73.9827846,Yes
Tarzian Hardware,"193 7th Ave, Brooklyn, NY",(718) 788-4120,40.6709055,-73.9780486,Yes
Unleashed,"81 7th Ave, Brooklyn, NY",(718) 230-5059,40.6747323,-73.97492443648187,Yes
7th Avenue Laundromat,"491 7th Ave, Brooklyn, NY",(718) 499-1183      ,40.6616457,-73.9857591,Yes
Park Slope Cleaners & Cobblers,"309 7th Ave, Brooklyn, NY",(718) 499-3640,40.6673452,-73.9810165,Yes
Wash & Dry Laundromat,"173 7th Ave, Brooklyn, NY",,40.6715559,-73.9775087,Yes
Carroll Cleaners,"149 7th Ave, Brooklyn, NY",(718) 857-4141,40.672541,-73.9765781,Yes
GR Cleaners,"179 Berkeley Pl, Brooklyn, NY",(718) 638-2699,40.6750437,-73.9746178,Yes
7th Ave Donuts,"324 7th Ave, Brooklyn, NY",(718) 768-0748,40.6672425,-73.9814979,Yes
Little Purity Diner,"390 7th Ave, Brooklyn, NY",(718) 369-1722,40.6652547,-73.9831438,Yes
Purity Diner,"289 7th Ave, Brooklyn, NY",(718) 840-0881,40.66795,-73.9804983,Yes
LivEly,"398 7th Ave, Brooklyn, NY",(929) 282-3110,40.664881,-73.983457,Yes
Juice press,"207 7th Ave, Brooklyn, NY",Visit website,40.6703017,-73.9785398,Yes
Mr Lime,"313 7th Ave, Brooklyn, NY",,40.6672274,-73.9811035,Yes
McMahon’s Public House,"39 5th Ave., Brooklyn, NY",(718) 230-4549,40.681663650000004,-73.97655845370241,Yes
Original Hot Dog Factory Brooklyn,"44 5th Ave., Brooklyn, NY",,40.6817792,-73.9769942,Yes
That Bar,"47 5th Ave., Brooklyn, NY",347 599-2220,40.6813415,-73.9769546,Yes
Alchemy,"56 5th Ave., Brooklyn, NY",(718) 636-4385,40.6813471,-73.9772854,Yes
Lizzie Kings Parlor,"75A 5th Ave., Brooklyn, NY",(347) 460-7514,40.6803978,-73.9775936,Yes
Pure Bistro,"88 5th Ave., Brooklyn, NY",(718) 622-5314,40.6804224,-73.9779135,Yes
Burger IM,"119 5th Ave., Brooklyn, NY",,40.6788936,-73.978612,Yes
Wild (gluten free),"148 5th Ave., Brooklyn, NY",(347) 987-4525,40.6782668,-73.9793591,Yes
Burger Bistro,"177 5th Ave., Brooklyn, NY",,40.6772425,-73.9797402,Yes
200 Fifth,"200 5th Ave., Brooklyn, NY",,40.67681175,-73.98048014110401,Yes
The Commissioner,"247 5th Ave., Brooklyn, NY",(347) 689-3968,40.6748633,-73.9813709,Yes
Brooklyn Burgers and Beer,"259 5th Ave., Brooklyn, NY",(718) 788-1458,40.6744486,-73.9817243,Yes
Bonnie’s Grill,"278 5th Ave., Brooklyn, NY",(718) 369-9527,40.6743172,-73.9822196,Yes
Blue Ribbon,"280 5th Ave., Brooklyn, NY",,40.67425455,-73.98238456614482,Yes
Terrace Restaurant BK,"280 5th Ave., Brooklyn, NY",,40.67425455,-73.98238456614482,Yes
Stone Park Cafe,"324 5th Ave., Brooklyn, NY",(718) 369-0082,40.6729934,-73.9833638,Yes
Benchmark,"339a 2nd St., Brooklyn, NY",(718) 965-7040,40.6737824,-73.9830766,Yes
Burger urway,"337 7th Ave., Brooklyn, NY",,40.6665991,-73.9816344,Yes
Flatiron Restaurant,"397 5th Ave., Brooklyn, NY",,40.67047385,-73.9849385794574,Yes
Fifth Ave Diner,"432 5th Ave., Brooklyn, NY",(718) 832-8131,40.6696367,-73.9861322,Yes
McDonalds,"289 9th St., Brooklyn, NY",,40.66975295,-73.98671899692425,Yes
The Dram Shop,"339 9th St., Brooklyn, NY",(929) 276-3452,40.668818,-73.9850977,Yes
Daisy’s Diner,"452 5th Ave., Brooklyn, NY",(718) 788-1438,40.6689647,-73.9866766,Yes
South Slope Eatery and Juice Bar,"486 5th Ave., Brooklyn, NY",(718) 499-0005,40.6678148,-73.9876435,Yes
Prospect Bar and Grill,"545 5th Ave., Brooklyn, NY",(347) 599-1087,40.6657557,-73.9888755,Yes
Sidecar,"560 5th Ave., Brooklyn, NY",(718) 369-0077,40.6654058,-73.9897926453977,Yes
Black Horse Pub,"568 5th Ave., Brooklyn, NY",(718) 788-1975,40.665187700000004,-73.99000264503965,Yes
Royal Fried Chicken King,"590 5th Ave., Brooklyn, NY",(718) 965-0893,40.6644619,-73.9904428,Yes
Energy Fuel Food,"606A 5th Ave., Brooklyn, NY",(718) 499-6999,40.6638894,-73.9909976,Yes
Wasan Brooklyn,"440 Bergen St., Brooklyn, NY",(212) 777-1978,40.6812487,-73.9767036,Yes
Brooklyn Rice Bowl,"440 Bergen St, Brooklyn, NY",,40.6812487,-73.9767036,Yes
Kiku Asian Fusion Bistro,"2 Lincoln Place., Brooklyn, NY",(718) 638-3366,40.6774733,-73.9793559,Yes
5ive Spice Taco & Banh Mi,"52 5th Ave., Brooklyn, NY",(718) 857-3483,40.6814403,-73.9772244,Yes
Sky Ice,"63 5th Ave., Brooklyn, NY",(718) 230-0910,40.680712,-73.9773803,Yes
Shinju Sushi iii,"75 5th Ave., Brooklyn, NY",(718) 638-0888,40.6804356,-73.977567,Yes
Momo Ramen,"78 5th Ave., Brooklyn, NY",(718) 622-4812,40.6806283,-73.9777735,Yes
New China Tung,"140 5th Ave., Brooklyn, NY",(718) 638-5682,40.6785782,-73.9791653,Yes
Bricolage,"162 5th Ave., Brooklyn, NY",(718) 230-1853,40.6778967,-73.9796265,Yes
Mr Bao,"179 5th Ave., Brooklyn, NY",,40.677199,-73.9797699,Yes
Mee Thai Cusine,"180 5th Ave., Brooklyn, NY",(718) 230-8281,40.67738,-73.9799667,Yes
Sun Luck Kitchen,"197 5th Ave., Brooklyn, NY",(718) 789-4439,40.6766662,-73.9801199,Yes
aji sushi,"201 5th Ave., Brooklyn, NY",(718) 622-2989,40.6765722,-73.9801832,Yes
Lotus Vietnamese Sandwiches,"229 5th Ave., Brooklyn, NY",(718) 399-2899,40.67547435,-73.98083030404597,Yes
The Haenyeo,"239 5th Ave., Brooklyn, NY",(347) 986-1311,40.6751736,-73.9811356,Yes
Naruto Ramen,"276 5th Ave., Brooklyn, NY",(718) 832-1111,40.6743962,-73.9821571,Yes
J-Pan Sushi,"287 5th Ave., Brooklyn, NY",(718) 788-2880,40.6736554,-73.982364,Yes
Song,"295 5th Ave., Brooklyn, NY",(718) 965-1108,40.6734673,-73.9825217,Yes
Natto Asian Cuisine,"296 5th Ave., Brooklyn, NY",(718) 369-1021,40.6737439,-73.9826984,Yes
Home S’ Vietnamese Sandwich,"349 5th Ave., Brooklyn, NY",(718) 369-2984,40.6718133,-73.9839044,Yes
Mura,"369 5th Ave., Brooklyn, NY",(718) 965-1288,40.6711767,-73.9844392,Yes
Mura Ramen and Poke,"370 5th Ave., Brooklyn, NY",,40.6714514,-73.9846219,Yes
Dumplings and Things,"375 5th Ave., Brooklyn, NY",(718) 768-2200,40.6710904,-73.9845075,Yes
Sushi Yashin,"381 5th Ave., Brooklyn, NY",(718) 788-6789,40.6708474,-73.9847293,Yes
Authentic Szechuan,"384 5th Ave., Brooklyn, NY",(718) 788-2299,40.6711516,-73.9848705,Yes
Luck Thai,"386 5th Ave., Brooklyn, NY",(718) 788-7889,40.6709654,-73.9850217,Yes
C&Y Chinese,"399 5th Ave., Brooklyn, NY",(718) 768-1188,40.6704599,-73.9850412,Yes
SkyIce on 9th,"437 5th Ave., Brooklyn, NY",(347) 889-5532,40.6693342,-73.9859779,Yes
Empire Express Chinese Restaurant,"319 9th St., Brooklyn, NY",(718) 499-3578,40.6691024,-73.9857243,Yes
Brooklyn Vape,"53 5th Ave., Brooklyn, NY",(718) 622-2597,40.6811596,-73.9770846,Yes
Slope Natural Foods,"61 5th Ave., Brooklyn, NY",(718) 789-2370,40.6808856,-73.977239,Yes
DB Smoke Shop,"65 5th Ave., Brooklyn, NY",(718) 857-9599,40.6806502,-73.977422,Yes
Bagel Store,"69 5th Ave., Brooklyn, NY",,40.68057,-73.9774744,Yes
5th Ave Market,"185 5th Ave., Brooklyn, NY",(718) 230-8050,40.6770946,-73.9798413,Yes
5th Ave Gourmet Delight,"270 5th Ave., Brooklyn, NY",(718) 965-8690,40.6745718,-73.9820001,Yes
5th Ave Convenience,"233 5th Ave, Brooklyn, NY",,40.6753608,-73.9810186,Yes
Bagel World,"339 5th Ave., Brooklyn, NY",(718) 499-1143,40.6720373,-73.9837179,Yes
Farm Shop Deli,"357 5th Ave., Brooklyn, NY",(718) 832-1121,40.6716168,-73.9840679,Yes
KC Delicious Deli & Grill,"402 5th Ave., Brooklyn, NY",(718) 788-3207,40.6705419,-73.9853657,Yes
Fifth Avenue Market & Deli,"434 5th Ave., Brooklyn, NY",(718) 788-8008,40.6695949,-73.9861675,Yes
Fifth Avenue Deli & Smoke Shop,"439 5th Ave., Brooklyn, NY",(718) 788-7511,40.6692428,-73.9860536,Yes
Bagel Pub,"287 9th St., Brooklyn, NY",(718) 499-4402,40.669662,-73.9868921,Yes
Cigar and Vape,"452 5th Ave., Brooklyn, NY",(718) 965-4887,40.6689647,-73.9866766,Yes
Bagel House,"461 5th Ave., Brooklyn, NY",(718) 768-8300,40.6684203,-73.9867356,Yes
Candy Grocery,"475 5th Ave., Brooklyn, NY",(718) 783-8100,40.6678979,-73.9869125,Yes
5th Avenue Smoke Shop,"500 5th Ave., Brooklyn, NY",,40.6673323,-73.9880242,Yes
513 Deli and Grill,"513 5th Ave., Brooklyn, NY",(718) 788-6155,40.6667976,-73.9880705,Yes
7-Eleven,"520 5th Ave., Brooklyn, NY",(718) 499-0247,40.666742,-73.9887011717264,Yes
Bagels and Wraps,"523 5th Ave., Brooklyn, NY",(718) 768-1052,40.6664089,-73.9884126,Yes
5th Ave Convenience Grocery,"561 5th Ave, Brooklyn, NY",,40.6652849,-73.98925145233633,Yes
Baba’s Deli,"599 5th Ave., Brooklyn, NY",(718) 788-7819,40.6642772,-73.9901819,Yes
Bagel Factory,"612 5th Ave., Brooklyn, NY",(718) 768-0461,40.6637622,-73.9911334,Yes
Subs n Stuff,"624 5th Ave., Brooklyn, NY",(917) 806-4726,40.6633663,-73.9915423,Yes
North Pole Pub,"428 Bergen St., Brooklyn, NY",718 857-0049,40.6815124,-73.9774074,Yes
Uncle Barry’s,"58 5th Ave., Brooklyn, NY",718 622-4980,40.6813003,-73.9773182,Yes
Wolf & Deer,"74 5th Ave., Brooklyn, NY",(718) 398-3181,40.6807515,-73.9776897,Yes
Beer Garage,"148 5th Ave., Brooklyn, NY",,40.6782668,-73.9793591,Yes
Blueprint,"196 5th Ave., Brooklyn, NY",(718) 622-6644,40.6768648,-73.980329,Yes
High Dive Pub,"243 5th Ave., Brooklyn, NY",(718) 788-8070,40.6749501,-73.9812915,Yes
Brooklyn Bavarian Biergarten,"263 Prospect Ave, Brooklyn, NY",(718) 788-0777,40.66391675,-73.98935153353119,Yes
Paddy’s of Park Slope,"273 13th St., Brooklyn, NY",(718) 499-7553,40.66669015,-73.98783615810595,Yes
The Gate,"321 5th Ave., Brooklyn, NY",(718) 768-4329,40.6725818,-73.9832797,Yes
Ginger’s Bar,"363 5th Ave., Brooklyn, NY",(718) 788-0924,40.6713308,-73.9843022,Yes
Logan's Run,"373 5th Ave., Brooklyn, NY",(917) 909-0453,40.6711672,-73.9845136,Yes
Pinot's Palette,"382 5th Ave., Brooklyn, NY",,40.6712029,-73.9848237,Yes
The Owl Farm,"297 9th St., Brooklyn, NY",(718) 499-4988,40.6695398,-73.9866612,Yes
Smith’s Tavern,"440 5th Ave., Brooklyn, NY",(718) 788-5218,40.6694826,-73.9862602,Yes
Skylark Bar,"477 5th Ave., Brooklyn, NY",347 227-8196,40.6678146,-73.9872318,Yes
The Monro,"481 5th Ave., Brooklyn, NY",(718) 499-2005,40.6676928,-73.9873337,Yes
Winemak'her Bar,"492 5th Ave., Brooklyn, NY",,40.6676795,-73.9877585,Yes
Commonwealth Bar,"497 5th Ave., Brooklyn, NY",(718) 768-2040,40.6672125,-73.9877442,Yes
Good Judy,"563 5th Ave., Brooklyn, NY",,40.6652954,-73.9893453,Yes
Buttermilk Bar,"577 5th Ave., Brooklyn, NY",(718) 788-6297,40.6647972,-73.9897511,Yes
Freddy’s Bar & Backroom,"627 5th Ave., Brooklyn, NY",718-768-0131,40.663297,-73.9911777,Yes
Southbar Brooklyn,"629 5th Ave., Brooklyn, NY",,40.6631961,-73.9912836,Yes
The Chocolate Room,"51 5th Ave., Brooklyn, NY",,40.6812034,-73.9770443,Yes
Blue Sky Bakery,"53 5th Ave., Brooklyn, NY",(718) 783-4123,40.6811596,-73.9770846,Yes
Sweetwaters Coffee & Tea,"55 5th Ave., Brooklyn, NY",(845) 236-6103,40.6810775,-73.9771303,Yes
Kung Fu Tea,"76 5th Ave., Brooklyn, NY",(347) 294-0232,40.6806937,-73.9777263,Yes
City Subs,"82 5th Ave., Brooklyn, NY",(718) 636-1777,40.680539,-73.9778343,Yes
Mr Wish,"86 5th Ave., Brooklyn, NY",(917) 216-9689,40.6805075,-73.9778557,Yes
Miss American Pie,"86 5th Ave., Brooklyn, NY",(718) 789-3747,40.6805075,-73.9778557,Yes
Philly Pretzel Factory,"131 5th Ave., Brooklyn, NY",(917) 909-0345,40.6785976,-73.9788069,Yes
Everyman Expresso,"162 5th Ave., Brooklyn, NY",,40.6778967,-73.9796265,Yes
Bowl & Blade,"169 5th Ave., Brooklyn, NY",(718) 783-7700,40.6773894,-73.9796398,Yes
Konditori,"186 5th Ave., Brooklyn, NY",,40.6772447,-73.9800748,Yes
Julien Boulangerie,"186 5th Ave, Brooklyn, NY",,40.6772447,-73.9800748,Yes
Konditori,"187 5th Ave., Brooklyn, NY",(347) 384-2028,40.676902,-73.98001,Yes
Al di La Cafe,"607 Carroll St., Brooklyn, NY",,40.675316,-73.9815067,Yes
Kos Kaffe,"249 5th Ave., Brooklyn, NY",718-768-6868,40.6748,-73.9814174,Yes
Buttermilk Bakeshop,"260 5th Ave., Brooklyn, NY",(347) 987-3491,40.6749039,-73.9817116,Yes
Velvette Brew,"279 5th Ave., Brooklyn, NY",(718) 971 9131,40.6738326,-73.9822047,Yes
Simple Loaf Bakehouse,"310 5th Ave., Brooklyn, NY",(347) 384-2205,40.6732844,-73.9830763,Yes
Postmark Coffee Shop,"326 6th St., Brooklyn, NY",(718) 768-2613,40.6710396,-73.985228,Yes
Cafe Martin,"355 5th Ave., Brooklyn, NY",,40.6716935,-73.9840041,Yes
Hemos Spot and Juice Bar,"359 5th Ave., Brooklyn, NY",,40.6714329,-73.9842331,Yes
Du Jour Bakery,"365 5th Ave., Brooklyn, NY",,40.6712752,-73.9843509,Yes
Pastry World Bakery,"374 5th Ave., Brooklyn, NY",,40.6713043,-73.9847365,Yes
Flying Hippo Café,"381 5th Ave., Brooklyn, NY",,40.6708474,-73.9847293,Yes
Crumbs and Coffee,"423 5th Ave., Brooklyn, NY",,40.6696269,-73.9857354,Yes
Gong Cha,"313 9th Street, Brooklyn, NY",,40.6691906,-73.9859436,Yes
Sip n Play Boardgame Café,"471 5th Ave., Brooklyn, NY",(718) 971-1684,40.668131,-73.9869618,Yes
Café Regular,"318A 11th St., Brooklyn, NY",,40.668098585365854,-73.98775707317073,Yes
Casita of BK,"318A 11th St., Brooklyn, NY",,40.668098585365854,-73.98775707317073,Yes
Daily Dose Juice Bar,"276B 12th St., Brooklyn, NY",,40.6674284,-73.9881499,Yes
Le French Tart,"579 5th Ave., Brooklyn, NY",(929) 276-3035,40.6647385,-73.9898041,Yes
Woops! Bakery,"620 5th Ave., Brooklyn, NY",,40.6634448,-73.991455,Yes
Yardsale Cafe,"620 5th Ave., Brooklyn, NY",,40.6634448,-73.991455,Yes
Convivium Osteria,"68 5th Ave., Brooklyn, NY",(718) 857-1833,40.6810436,-73.9774878,Yes
Medusa Greek Taverna,"133 5th Ave., Brooklyn, NY",(347) 599-0749,40.6785497,-73.9788383,Yes
Simply Greek,"242 5th Ave., Brooklyn, NY",,40.6754626,-73.9812765,Yes
Le Succulent,"291 5th Ave., Brooklyn, NY",(347) 227-8282,40.6735663,-73.9824372,Yes
Matisse Brooklyn,"315 5th Ave., Brooklyn, NY",,40.67289988888889,-73.98306755555555,Yes
Pitas and Sticks,"321 9th St., Brooklyn, NY",(718) 369-9800,40.6690786,-73.9856758,Yes
Le Mistral,"332 5th Ave., Brooklyn, NY",(844) 841-9019,40.67236344444445,-73.98351633333334,Yes
Culture. (An American Yogurt Company),"331 5th Ave., Brooklyn, NY",(718) 499-0207,40.6723462,-73.9834645,Yes
L’Albero Dei Gelati,"341 5th Ave., Brooklyn, NY",(718) 788-2288,40.6719617,-73.9837809,Yes
Uncle Louie G’s Italian Ices,"402 5th Ave., Brooklyn, NY",(718) 788-3207,40.6705419,-73.9853657,Yes
Pearl Gate Frozen Yogurt,"482 5th Ave., Brooklyn, NY",,40.6679072,-73.9875641,Yes
Uncle Louie G’s Italian Ices,"741 Union St., Brooklyn, NY",(718) 623-6668,40.6764098,-73.9800743,Yes
Namaste,"195 5th Ave., Brooklyn, NY",(718) 857-1951,40.67669325,-73.98000590688865,Yes
Tikka Indian Grill,"396 5th Ave., Brooklyn, NY",(347) 799 1614,40.6707039,-73.985222,Yes
Artichoke Pizza,"59 5th Ave., Brooklyn, NY",(347) 763-1975,40.680949,-73.977211,Yes
Pizza Secret,"72 5th Ave., Brooklyn, NY",(929) 337-6245,40.6807977,-73.9776583,Yes
L'Arte Della Pizza,"172 5th Ave., Brooklyn, NY",(718) 622-7200,40.6775265,-73.9798682,Yes
