Store,Address,Phone,lat,lon
7TH AVENUE DISCOUNT GOODS,"162 7TH AVE, BROOKLYN, NY",,40.6721161,-73.9774271
ANIMAL KIND VETERINARIAN HOSPITAL,"365 7TH AVE, BROOKLYN, NY",(718) 832-3899,40.6657667,-73.9823298
BROOKS APPLIANCE & REPAIR,"387 7TH AVE, BROOKLYN, NY",(718) 832-0055,40.6651658,-73.9828213
CHASE,"129 7TH AVE, BROOKLYN, NY",(718) 783-1822,40.67300613333333,-73.97635533333334
FFERINS CANDY,"438 7TH AVE, BROOKLYN, NY",(718) 788-5788,40.6634948,-73.9846239
LEROY'S PLACE,"353 7TH AVE, BROOKLYN, NY",(718) 369-4200,40.6660406,-73.9821022
MUSIC MATTERS RECORDS,"413 B 7TH AVE, BROOKLYN, NY",(718) 369-7087,40.664104,-73.9837794
PARK SLOPE COPY CENTER,"123 7TH AVE, BROOKLYN, NY",(718) 783-0286,40.6733417,-73.9760481
SMART PHONE REPAIR,"138 7TH AVE, BROOKLYN, NY",(917) 909-0901,40.6729136,-73.9767592
US POST OFFICE,"198 7TH AVE, BROOKLYN, NY",(888) 275-8777,40.6709892,-73.9783584
TOY SPACE,"426 7TH AVE, BROOKLYN, NY",(718) 369-9096,40.6638198,-73.9843521
POWERHOUSE BOOKS,"1111 8TH AVE, BROOKLYN, NY",(718) 801-8375,40.664193,-73.9802996
STERLING PLACE,"352 7TH AVE, BROOKLYN, NY",(718) 499-4800,40.6662345,-73.9823465
COHEN FASHION OPTICAL,"298 7TH AVENUE, BROOKLYN, NY",(718) 768-3939,40.6679857,-73.9808705
COHEN FASHION OPTICAL,"298 7TH AVENUE, BROOKLYN, NY",(718) 768-3939,40.6679857,-73.9808705
THE BAD WIFE,"378 7TH AVE, BROOKLYN, NY",(718) 499-7513,40.6654869,-73.9829616
COUSIN JOHN'S BAKERY,"70 7TH AVENUE, BROOKLYN, NY",718-622-7333,40.6753628,-73.9750232
BKLYN CAKE STUDIO,"427 7TH AVE, BROOKLYN, NY",(718) 576-3986,40.6635902,-73.9841378
FOOD U DESIRE,"423 7TH AVE, BROOKLYN, NY",(718) 965-1249,40.6637229,-73.984028
RUSSOS ITALIAN MARKET,"363 7TH AVE, BROOKLYN, NY",(718) 369-2874,40.6658136,-73.9822909
PARK SLOPE SEA FOOD,"217 7TH AVE, BROOKLYN, NY",(718) 832-7638,40.6701184,-73.978697
UN POSTO ITALIANO MARKET & CAFÉ,"206 GARFIELD PL, BROOKLYN, NY",(718) 838-9500,40.6721139,-73.9769282
D'VINE TASTE,"150 7TH AVE, BROOKLYN, NY",(718) 369-0548,40.6725955,-73.9770283
HILLER AND MOON,"814 UNION STREET, BROOKLYN, NY",(718) 230-5150,40.6742198,-73.9752649
OTTO WOMAN'S BOUTIQUE,"354 7TH AVE, BROOKLYN, NY",(718) 788-6627,40.6661881,-73.98238
FIG.,"121 7TH AVE, BROOKLYN, NY",(718) 622 5550 ,40.6733857,-73.9760194
KIWI,"119 7TH AVE, BROOKLYN, NY",(718) 622-5551,40.673433,-73.9759846
BLOK HILL,"103 7TH AVE, BROOKLYN, NY",(718) 783-0789,40.6740201,-73.9755983
NYC PET,"385 7TH AVE, BROOKLYN, NY",(718)768-3958,40.6652098,-73.9827846
TARZIAN HARDWARE,"193 7TH AVE, BROOKLYN, NY",(718) 788-4120,40.6709055,-73.9780486
UNLEASHED,"81 7TH AVE, BROOKLYN, NY",(718) 230-5059,40.6747323,-73.97492443648187
7TH AVENUE LAUNDROMAT,"491 7TH AVE, BROOKLYN, NY",(718) 499-1183      ,40.6616457,-73.9857591
PARK SLOPE CLEANERS & COBBLERS,"309 7TH AVE, BROOKLYN, NY",(718) 499-3640,40.6673452,-73.9810165
WASH & DRY LAUNDROMAT,"173 7TH AVE, BROOKLYN, NY",,40.6715559,-73.9775087
CARROLL CLEANERS,"149 7TH AVE, BROOKLYN, NY",(718) 857-4141,40.672541,-73.9765781
GR CLEANERS,"179 BERKELEY PL, BROOKLYN, NY",(718) 638-2699,40.6750437,-73.9746178
7TH AVE DONUTS,"324 7TH AVE, BROOKLYN, NY",(718) 768-0748,40.6672425,-73.9814979
LITTLE PURITY DINER,"390 7TH AVE, BROOKLYN, NY",(718) 369-1722,40.6652547,-73.9831438
PURITY DINER,"289 7TH AVE, BROOKLYN, NY",(718) 840-0881,40.66795,-73.9804983
LIVELY,"398 7TH AVE, BROOKLYN, NY",(929) 282-3110,40.664881,-73.983457
JUICE PRESS,"207 7TH AVE, BROOKLYN, NY",Visit website,40.6703017,-73.9785398
MR LIME,"313 7TH AVE, BROOKLYN, NY",,40.6672274,-73.9811035
MCMAHON’S PUBLIC HOUSE,"39 5TH AVE., BROOKLYN, NY",(718) 230-4549,40.681663650000004,-73.97655845370241
ORIGINAL HOT DOG FACTORY BROOKLYN,"44 5TH AVE., BROOKLYN, NY",,40.6817792,-73.9769942
THAT BAR,"47 5TH AVE., BROOKLYN, NY",347 599-2220,40.6813415,-73.9769546
ALCHEMY,"56 5TH AVE., BROOKLYN, NY",(718) 636-4385,40.6813471,-73.9772854
LIZZIE KINGS PARLOR,"75A 5TH AVE., BROOKLYN, NY",(347) 460-7514,40.6803978,-73.9775936
PURE BISTRO,"88 5TH AVE., BROOKLYN, NY",(718) 622-5314,40.6804224,-73.9779135
BURGER IM,"119 5TH AVE., BROOKLYN, NY",,40.6788936,-73.978612
WILD (GLUTEN FREE),"148 5TH AVE., BROOKLYN, NY",(347) 987-4525,40.6782668,-73.9793591
BURGER BISTRO,"177 5TH AVE., BROOKLYN, NY",,40.6772425,-73.9797402
200 FIFTH,"200 5TH AVE., BROOKLYN, NY",,40.67681175,-73.98048014110401
THE COMMISSIONER,"247 5TH AVE., BROOKLYN, NY",(347) 689-3968,40.6748633,-73.9813709
BROOKLYN BURGERS AND BEER,"259 5TH AVE., BROOKLYN, NY",(718) 788-1458,40.6744486,-73.9817243
BONNIE’S GRILL,"278 5TH AVE., BROOKLYN, NY",(718) 369-9527,40.6743172,-73.9822196
BLUE RIBBON,"280 5TH AVE., BROOKLYN, NY",,40.67425455,-73.98238456614482
TERRACE RESTAURANT BK,"280 5TH AVE., BROOKLYN, NY",,40.67425455,-73.98238456614482
STONE PARK CAFE,"324 5TH AVE., BROOKLYN, NY",(718) 369-0082,40.6729934,-73.9833638
BENCHMARK,"339A 2ND ST., BROOKLYN, NY",(718) 965-7040,40.6737824,-73.9830766
BURGER URWAY,"337 7TH AVE., BROOKLYN, NY",,40.6665991,-73.9816344
FLATIRON RESTAURANT,"397 5TH AVE., BROOKLYN, NY",,40.67047385,-73.9849385794574
FIFTH AVE DINER,"432 5TH AVE., BROOKLYN, NY",(718) 832-8131,40.6696367,-73.9861322
MCDONALDS,"289 9TH ST., BROOKLYN, NY",,40.66975295,-73.98671899692425
THE DRAM SHOP,"339 9TH ST., BROOKLYN, NY",(929) 276-3452,40.668818,-73.9850977
DAISY’S DINER,"452 5TH AVE., BROOKLYN, NY",(718) 788-1438,40.6689647,-73.9866766
SOUTH SLOPE EATERY AND JUICE BAR,"486 5TH AVE., BROOKLYN, NY",(718) 499-0005,40.6678148,-73.9876435
PROSPECT BAR AND GRILL,"545 5TH AVE., BROOKLYN, NY",(347) 599-1087,40.6657557,-73.9888755
SIDECAR,"560 5TH AVE., BROOKLYN, NY",(718) 369-0077,40.6654058,-73.9897926453977
BLACK HORSE PUB,"568 5TH AVE., BROOKLYN, NY",(718) 788-1975,40.665187700000004,-73.99000264503965
ROYAL FRIED CHICKEN KING,"590 5TH AVE., BROOKLYN, NY",(718) 965-0893,40.6644619,-73.9904428
ENERGY FUEL FOOD,"606A 5TH AVE., BROOKLYN, NY",(718) 499-6999,40.6638894,-73.9909976
WASAN BROOKLYN,"440 BERGEN ST., BROOKLYN, NY",(212) 777-1978,40.6812487,-73.9767036
BROOKLYN RICE BOWL,"440 BERGEN ST, BROOKLYN, NY",,40.6812487,-73.9767036
KIKU ASIAN FUSION BISTRO,"2 LINCOLN PLACE., BROOKLYN, NY",(718) 638-3366,40.6774733,-73.9793559
5IVE SPICE TACO & BANH MI,"52 5TH AVE., BROOKLYN, NY",(718) 857-3483,40.6814403,-73.9772244
SKY ICE,"63 5TH AVE., BROOKLYN, NY",(718) 230-0910,40.680712,-73.9773803
SHINJU SUSHI III,"75 5TH AVE., BROOKLYN, NY",(718) 638-0888,40.6804356,-73.977567
MOMO RAMEN,"78 5TH AVE., BROOKLYN, NY",(718) 622-4812,40.6806283,-73.9777735
NEW CHINA TUNG,"140 5TH AVE., BROOKLYN, NY",(718) 638-5682,40.6785782,-73.9791653
BRICOLAGE,"162 5TH AVE., BROOKLYN, NY",(718) 230-1853,40.6778967,-73.9796265
MR BAO,"179 5TH AVE., BROOKLYN, NY",,40.677199,-73.9797699
MEE THAI CUSINE,"180 5TH AVE., BROOKLYN, NY",(718) 230-8281,40.67738,-73.9799667
SUN LUCK KITCHEN,"197 5TH AVE., BROOKLYN, NY",(718) 789-4439,40.6766662,-73.9801199
AJI SUSHI,"201 5TH AVE., BROOKLYN, NY",(718) 622-2989,40.6765722,-73.9801832
LOTUS VIETNAMESE SANDWICHES,"229 5TH AVE., BROOKLYN, NY",(718) 399-2899,40.67547435,-73.98083030404597
THE HAENYEO,"239 5TH AVE., BROOKLYN, NY",(347) 986-1311,40.6751736,-73.9811356
NARUTO RAMEN,"276 5TH AVE., BROOKLYN, NY",(718) 832-1111,40.6743684,-73.9821829
J-PAN SUSHI,"287 5TH AVE., BROOKLYN, NY",(718) 788-2880,40.6736554,-73.982364
SONG,"295 5TH AVE., BROOKLYN, NY",(718) 965-1108,40.6734673,-73.9825217
NATTO ASIAN CUISINE,"296 5TH AVE., BROOKLYN, NY",(718) 369-1021,40.6737439,-73.9826984
HOME S’ VIETNAMESE SANDWICH,"349 5TH AVE., BROOKLYN, NY",(718) 369-2984,40.6718133,-73.9839044
MURA,"369 5TH AVE., BROOKLYN, NY",(718) 965-1288,40.6711767,-73.9844392
MURA RAMEN AND POKE,"370 5TH AVE., BROOKLYN, NY",,40.6714514,-73.9846219
DUMPLINGS AND THINGS,"375 5TH AVE., BROOKLYN, NY",(718) 768-2200,40.6710904,-73.9845075
SUSHI YASHIN,"381 5TH AVE., BROOKLYN, NY",(718) 788-6789,40.6708474,-73.9847293
AUTHENTIC SZECHUAN,"384 5TH AVE., BROOKLYN, NY",(718) 788-2299,40.6711516,-73.9848705
LUCK THAI,"386 5TH AVE., BROOKLYN, NY",(718) 788-7889,40.6709654,-73.9850217
C&Y CHINESE,"399 5TH AVE., BROOKLYN, NY",(718) 768-1188,40.6704599,-73.9850412
SKYICE ON 9TH,"437 5TH AVE., BROOKLYN, NY",(347) 889-5532,40.6693342,-73.9859779
EMPIRE EXPRESS CHINESE RESTAURANT,"319 9TH ST., BROOKLYN, NY",(718) 499-3578,40.6691024,-73.9857243
BROOKLYN VAPE,"53 5TH AVE., BROOKLYN, NY",(718) 622-2597,40.6811596,-73.9770846
SLOPE NATURAL FOODS,"61 5TH AVE., BROOKLYN, NY",(718) 789-2370,40.6808856,-73.977239
DB SMOKE SHOP,"65 5TH AVE., BROOKLYN, NY",(718) 857-9599,40.6806502,-73.977422
BAGEL STORE,"69 5TH AVE., BROOKLYN, NY",,40.68057,-73.9774744
5TH AVE MARKET,"185 5TH AVE., BROOKLYN, NY",(718) 230-8050,40.6770946,-73.9798413
5TH AVE GOURMET DELIGHT,"270 5TH AVE., BROOKLYN, NY",(718) 965-8690,40.6745718,-73.9820001
5TH AVE CONVENIENCE,"233 5TH AVE, BROOKLYN, NY",,40.6753608,-73.9810186
BAGEL WORLD,"339 5TH AVE., BROOKLYN, NY",(718) 499-1143,40.6720373,-73.9837179
FARM SHOP DELI,"357 5TH AVE., BROOKLYN, NY",(718) 832-1121,40.6716168,-73.9840679
KC DELICIOUS DELI & GRILL,"402 5TH AVE., BROOKLYN, NY",(718) 788-3207,40.6705419,-73.9853657
FIFTH AVENUE MARKET & DELI,"434 5TH AVE., BROOKLYN, NY",(718) 788-8008,40.6695949,-73.9861675
FIFTH AVENUE DELI & SMOKE SHOP,"439 5TH AVE., BROOKLYN, NY",(718) 788-7511,40.6692428,-73.9860536
BAGEL PUB,"287 9TH ST., BROOKLYN, NY",(718) 499-4402,40.669662,-73.9868921
CIGAR AND VAPE,"452 5TH AVE., BROOKLYN, NY",(718) 965-4887,40.6689647,-73.9866766
BAGEL HOUSE,"461 5TH AVE., BROOKLYN, NY",(718) 768-8300,40.6684203,-73.9867356
CANDY GROCERY,"475 5TH AVE., BROOKLYN, NY",(718) 783-8100,40.6678979,-73.9869125
5TH AVENUE SMOKE SHOP,"500 5TH AVE., BROOKLYN, NY",,40.6673323,-73.9880242
513 DELI AND GRILL,"513 5TH AVE., BROOKLYN, NY",(718) 788-6155,40.6667976,-73.9880705
7-ELEVEN,"520 5TH AVE., BROOKLYN, NY",(718) 499-0247,40.666742,-73.9887011717264
BAGELS AND WRAPS,"523 5TH AVE., BROOKLYN, NY",(718) 768-1052,40.6664089,-73.9884126
5TH AVE CONVENIENCE GROCERY,"561 5TH AVE, BROOKLYN, NY",,40.6652849,-73.98925145233633
BABA’S DELI,"599 5TH AVE., BROOKLYN, NY",(718) 788-7819,40.6642772,-73.9901819
BAGEL FACTORY,"612 5TH AVE., BROOKLYN, NY",(718) 768-0461,40.6637622,-73.9911334
SUBS N STUFF,"624 5TH AVE., BROOKLYN, NY",(917) 806-4726,40.6633663,-73.9915423
NORTH POLE PUB,"428 BERGEN ST., BROOKLYN, NY",718 857-0049,40.6815124,-73.9774074
UNCLE BARRY’S,"58 5TH AVE., BROOKLYN, NY",718 622-4980,40.6813003,-73.9773182
WOLF & DEER,"74 5TH AVE., BROOKLYN, NY",(718) 398-3181,40.6807515,-73.9776897
BEER GARAGE,"148 5TH AVE., BROOKLYN, NY",,40.6782668,-73.9793591
BLUEPRINT,"196 5TH AVE., BROOKLYN, NY",(718) 622-6644,40.6768648,-73.980329
HIGH DIVE PUB,"243 5TH AVE., BROOKLYN, NY",(718) 788-8070,40.6749501,-73.9812915
BROOKLYN BAVARIAN BIERGARTEN,"263 PROSPECT AVE, BROOKLYN, NY",(718) 788-0777,40.66391675,-73.98935153353119
PADDY’S OF PARK SLOPE,"273 13TH ST., BROOKLYN, NY",(718) 499-7553,40.66669015,-73.98783615810595
THE GATE,"321 5TH AVE., BROOKLYN, NY",(718) 768-4329,40.6725818,-73.9832797
GINGER’S BAR,"363 5TH AVE., BROOKLYN, NY",(718) 788-0924,40.6713308,-73.9843022
LOGAN'S RUN,"373 5TH AVE., BROOKLYN, NY",(917) 909-0453,40.6711672,-73.9845136
PINOT'S PALETTE,"382 5TH AVE., BROOKLYN, NY",,40.6712029,-73.9848237
THE OWL FARM,"297 9TH ST., BROOKLYN, NY",(718) 499-4988,40.6695398,-73.9866612
SMITH’S TAVERN,"440 5TH AVE., BROOKLYN, NY",(718) 788-5218,40.6694826,-73.9862602
SKYLARK BAR,"477 5TH AVE., BROOKLYN, NY",347 227-8196,40.6678146,-73.9872318
THE MONRO,"481 5TH AVE., BROOKLYN, NY",(718) 499-2005,40.6676928,-73.9873337
WINEMAK'HER BAR,"492 5TH AVE., BROOKLYN, NY",,40.6676795,-73.9877585
COMMONWEALTH BAR,"497 5TH AVE., BROOKLYN, NY",(718) 768-2040,40.6672125,-73.9877442
GOOD JUDY,"563 5TH AVE., BROOKLYN, NY",,40.6652954,-73.9893453
BUTTERMILK BAR,"577 5TH AVE., BROOKLYN, NY",(718) 788-6297,40.6647972,-73.9897511
FREDDY’S BAR & BACKROOM,"627 5TH AVE., BROOKLYN, NY",718-768-0131,40.663297,-73.9911777
SOUTHBAR BROOKLYN,"629 5TH AVE., BROOKLYN, NY",,40.6631961,-73.9912836
THE CHOCOLATE ROOM,"51 5TH AVE., BROOKLYN, NY",,40.681173099999995,-73.97697618157491
BLUE SKY BAKERY,"53 5TH AVE., BROOKLYN, NY",(718) 783-4123,40.6811596,-73.9770846
SWEETWATERS COFFEE & TEA,"55 5TH AVE., BROOKLYN, NY",(845) 236-6103,40.6810775,-73.9771303
KUNG FU TEA,"76 5TH AVE., BROOKLYN, NY",(347) 294-0232,40.6806937,-73.9777263
CITY SUBS,"82 5TH AVE., BROOKLYN, NY",(718) 636-1777,40.680539,-73.9778343
MR WISH,"86 5TH AVE., BROOKLYN, NY",(917) 216-9689,40.6805075,-73.9778557
MISS AMERICAN PIE,"86 5TH AVE., BROOKLYN, NY",(718) 789-3747,40.6805075,-73.9778557
PHILLY PRETZEL FACTORY,"131 5TH AVE., BROOKLYN, NY",(917) 909-0345,40.6785976,-73.9788069
EVERYMAN EXPRESSO,"162 5TH AVE., BROOKLYN, NY",,40.6778967,-73.9796265
BOWL & BLADE,"169 5TH AVE., BROOKLYN, NY",(718) 783-7700,40.6773894,-73.9796398
KONDITORI,"186 5TH AVE., BROOKLYN, NY",,40.6772447,-73.9800748
JULIEN BOULANGERIE,"186 5TH AVE, BROOKLYN, NY",,40.6772447,-73.9800748
KONDITORI,"187 5TH AVE., BROOKLYN, NY",(347) 384-2028,40.676902,-73.98001
AL DI LA CAFE,"607 CARROLL ST., BROOKLYN, NY",,40.675316,-73.9815067
KOS KAFFE,"249 5TH AVE., BROOKLYN, NY",718-768-6868,40.6748,-73.9814174
BUTTERMILK BAKESHOP,"260 5TH AVE., BROOKLYN, NY",(347) 987-3491,40.6749039,-73.9817116
VELVETTE BREW,"279 5TH AVE., BROOKLYN, NY",(718) 971 9131,40.6738326,-73.9822047
SIMPLE LOAF BAKEHOUSE,"310 5TH AVE., BROOKLYN, NY",(347) 384-2205,40.6732844,-73.9830763
POSTMARK COFFEE SHOP,"326 6TH ST., BROOKLYN, NY",(718) 768-2613,40.6710396,-73.985228
CAFE MARTIN,"355 5TH AVE., BROOKLYN, NY",,40.6716935,-73.9840041
HEMOS SPOT AND JUICE BAR,"359 5TH AVE., BROOKLYN, NY",,40.6714329,-73.9842331
DU JOUR BAKERY,"365 5TH AVE., BROOKLYN, NY",,40.6712752,-73.9843509
PASTRY WORLD BAKERY,"374 5TH AVE., BROOKLYN, NY",,40.6713043,-73.9847365
FLYING HIPPO CAFÉ,"381 5TH AVE., BROOKLYN, NY",,40.6708474,-73.9847293
CRUMBS AND COFFEE,"423 5TH AVE., BROOKLYN, NY",,40.6696269,-73.9857354
GONG CHA,"313 9TH STREET, BROOKLYN, NY",,40.6691906,-73.9859436
SIP N PLAY BOARDGAME CAFÉ,"471 5TH AVE., BROOKLYN, NY",(718) 971-1684,40.668131,-73.9869618
CAFÉ REGULAR,"318A 11TH ST., BROOKLYN, NY",,40.668098585365854,-73.98775707317073
CASITA OF BK,"318A 11TH ST., BROOKLYN, NY",,40.668098585365854,-73.98775707317073
DAILY DOSE JUICE BAR,"276B 12TH ST., BROOKLYN, NY",,40.6674284,-73.9881499
LE FRENCH TART,"579 5TH AVE., BROOKLYN, NY",(929) 276-3035,40.6647385,-73.9898041
WOOPS! BAKERY,"620 5TH AVE., BROOKLYN, NY",,40.6634448,-73.991455
YARDSALE CAFE,"620 5TH AVE., BROOKLYN, NY",,40.6634448,-73.991455
CONVIVIUM OSTERIA,"68 5TH AVE., BROOKLYN, NY",(718) 857-1833,40.6810436,-73.9774878
MEDUSA GREEK TAVERNA,"133 5TH AVE., BROOKLYN, NY",(347) 599-0749,40.6785497,-73.9788383
SIMPLY GREEK,"242 5TH AVE., BROOKLYN, NY",,40.6754626,-73.9812765
LE SUCCULENT,"291 5TH AVE., BROOKLYN, NY",(347) 227-8282,40.6735663,-73.9824372
MATISSE BROOKLYN,"315 5TH AVE., BROOKLYN, NY",,40.67289988888889,-73.98306755555555
PITAS AND STICKS,"321 9TH ST., BROOKLYN, NY",(718) 369-9800,40.6690786,-73.9856758
LE MISTRAL,"332 5TH AVE., BROOKLYN, NY",(844) 841-9019,40.67236344444445,-73.98351633333334
CULTURE. (AN AMERICAN YOGURT COMPANY),"331 5TH AVE., BROOKLYN, NY",(718) 499-0207,40.6723462,-73.9834645
L’ALBERO DEI GELATI,"341 5TH AVE., BROOKLYN, NY",(718) 788-2288,40.6719617,-73.9837809
UNCLE LOUIE G’S ITALIAN ICES,"402 5TH AVE., BROOKLYN, NY",(718) 788-3207,40.6705419,-73.9853657
PEARL GATE FROZEN YOGURT,"482 5TH AVE., BROOKLYN, NY",,40.6679072,-73.9875641
UNCLE LOUIE G’S ITALIAN ICES,"741 UNION ST., BROOKLYN, NY",(718) 623-6668,40.6764098,-73.9800743
NAMASTE,"195 5TH AVE., BROOKLYN, NY",(718) 857-1951,40.67669325,-73.98000590688865
TIKKA INDIAN GRILL,"396 5TH AVE., BROOKLYN, NY",(347) 799 1614,40.6707039,-73.985222
ARTICHOKE PIZZA,"59 5TH AVE., BROOKLYN, NY",(347) 763-1975,40.680949,-73.977211
